"transaction_id","product_id","customer_id","transaction_date","online_order","order_status","brand","product_line","product_class","product_size","list_price","standard_cost","product_first_sold_date"
"4047","2","103","2017-11-11","","Approved","Solex","Standard","medium","medium","71.49","53.62","2003-02-07"
"4051","64","1522","2017-06-19","","Approved","Trek Bicycles","Standard","medium","large","1469.44","596.55","2012-05-18"
"4071","83","2705","2017-12-15","","Approved","Solex","Touring","medium","large","2083.94","675.03","2013-09-16"
"4074","0","1841","2017-04-09","0.0","Approved","","","","","1541.62","",""
"4128","0","3242","2017-01-04","1.0","Approved","","","","","639.38","",""
"4162","1","867","2017-01-25","","Approved","Giant Bicycles","Standard","medium","medium","1403.5","954.82","2016-11-14"
"4223","0","2479","2017-05-05","1.0","Approved","","","","","402.14","",""
"4225","0","2405","2017-05-02","0.0","Approved","","","","","710.55","",""
"4228","0","3464","2017-06-04","0.0","Approved","","","","","1142.89","",""
"4268","33","968","2017-05-01","","Approved","OHM Cycles","Road","medium","small","1810.0","1610.9","2012-06-04"
"4339","0","1741","2017-04-12","0.0","Approved","","","","","813.6","",""
"4344","35","2553","2017-07-10","","Approved","Giant Bicycles","Standard","medium","medium","1403.5","954.82","2012-12-02"
"4348","61","2484","2017-09-14","","Approved","OHM Cycles","Standard","low","medium","71.16","56.93","1992-10-02"
"4385","83","1140","2017-09-18","","Approved","Solex","Touring","medium","large","2083.94","675.03","2015-08-02"
"4405","0","325","2017-08-10","0.0","Approved","","","","","1833.17","",""
"4478","0","2174","2017-06-07","","Approved","Norco Bicycles","Road","medium","medium","544.05","376.84","2005-10-22"
"4605","0","1957","2017-05-01","0.0","Approved","","","","","1285.47","",""
"4653","0","104","2017-03-08","0.0","Approved","","","","","1678.71","",""
"4654","40","3085","2017-11-12","","Approved","OHM Cycles","Standard","high","medium","1458.17","874.9","2006-02-02"
"4681","54","3040","2017-06-10","","Approved","WeareA2B","Standard","medium","medium","1292.84","13.44","2015-08-10"
"4714","0","2454","2017-11-05","1.0","Approved","","","","","437.51","",""
"4754","48","1238","2017-08-04","","Approved","WeareA2B","Standard","medium","medium","1762.96","950.52","1997-10-04"
"4803","20","1692","2017-04-23","","Approved","Trek Bicycles","Standard","medium","small","1775.81","1580.47","1993-10-02"
"4822","8","1489","2017-08-07","","Approved","Solex","Road","medium","small","1703.52","1516.13","2011-04-16"
"4832","9","2350","2017-03-27","","Approved","OHM Cycles","Road","medium","medium","742.54","667.4","2005-12-07"
"4833","0","961","2017-09-03","0.0","Approved","","","","","366.22","",""
"4867","39","921","2017-06-15","","Approved","Giant Bicycles","Standard","medium","large","1812.75","582.48","2010-06-07"
"4889","11","590","2017-02-19","","Approved","Giant Bicycles","Standard","high","medium","1274.93","764.96","1996-11-09"
"4896","0","922","2017-06-25","0.0","Approved","","","","","1199.26","",""
"4967","0","2217","2017-08-16","1.0","Approved","","","","","1888.45","",""
"5022","89","2449","2017-06-08","","Approved","WeareA2B","Touring","medium","large","1362.99","57.74","1993-04-20"
"5029","0","342","2017-03-25","","Approved","Trek Bicycles","Standard","high","medium","495.72","297.43","2015-04-11"
"5062","94","1057","2017-11-12","","Approved","Giant Bicycles","Standard","medium","large","1635.3","993.66","2013-06-09"
"5065","0","3399","2017-06-14","0.0","Approved","","","","","237.44","",""
"5159","0","1418","2017-06-01","0.0","Approved","","","","","317.3","",""
"5207","0","531","2017-03-02","1.0","Approved","","","","","1527.25","",""
"5261","0","3322","2017-12-28","0.0","Approved","","","","","1563.94","",""
"5267","0","1172","2017-10-05","0.0","Approved","","","","","1146.42","",""
"5354","22","1383","2017-04-19","","Approved","WeareA2B","Standard","medium","medium","60.34","45.26","1993-07-15"
"5416","0","1700","2017-11-16","","Approved","Solex","Standard","medium","medium","71.49","53.62","2012-12-02"
"5434","40","1140","2017-01-21","","Approved","OHM Cycles","Standard","high","medium","1458.17","874.9","1997-05-10"
"5455","21","1455","2017-03-25","","Approved","Solex","Standard","medium","large","1071.23","380.74","1996-04-05"
"5461","0","1726","2017-12-21","","Cancelled","Norco Bicycles","Road","medium","medium","543.39","407.54","2016-11-22"
"5476","68","634","2017-11-29","","Approved","OHM Cycles","Standard","medium","medium","1636.9","44.71","2010-08-20"
"5562","5","1468","2017-12-06","","Approved","Trek Bicycles","Mountain","low","medium","574.64","459.71","2011-08-29"
"5575","31","3046","2017-02-05","","Approved","Giant Bicycles","Standard","medium","medium","230.91","173.18","2006-11-10"
"5603","0","947","2017-06-15","0.0","Approved","","","","","1192.33","",""
"5643","75","2290","2017-04-07","","Approved","Giant Bicycles","Touring","medium","large","1873.97","863.95","1997-01-25"
"5673","42","1656","2017-01-24","","Approved","OHM Cycles","Road","medium","small","1810.0","1610.9","1993-04-12"
"5718","59","3271","2017-02-05","","Approved","WeareA2B","Standard","medium","small","1415.01","1259.36","1991-05-06"
"5743","3","2070","2017-09-24","","Approved","Trek Bicycles","Standard","medium","large","2091.47","388.92","2015-05-21"
"5756","42","913","2017-05-31","","Approved","OHM Cycles","Road","medium","small","1810.0","1610.9","2008-03-19"
"5802","87","305","2017-04-05","","Approved","Giant Bicycles","Standard","high","medium","1179.0","707.4","1997-08-25"
"5835","91","501","2017-08-24","","Approved","WeareA2B","Standard","low","medium","642.31","513.85","2014-10-10"
"5862","0","2404","2017-12-28","0.0","Approved","","","","","1672.07","",""
"5888","95","731","2017-12-05","","Approved","Giant Bicycles","Standard","medium","large","569.56","528.43","2003-09-10"
"5893","73","2013","2017-04-13","","Approved","Solex","Standard","medium","medium","1945.43","333.18","2003-09-09"
"5964","32","312","2017-07-19","","Approved","Giant Bicycles","Standard","medium","medium","642.7","211.37","1994-07-12"
"5978","9","1794","2017-11-13","","Approved","OHM Cycles","Road","medium","medium","742.54","667.4","1991-11-07"
"6038","59","223","2017-02-27","","Approved","Solex","Standard","medium","large","1061.56","733.58","2012-05-18"
"6072","0","2930","2017-03-01","1.0","Approved","","","","","1099.68","",""
"6112","48","2910","2017-11-14","","Approved","WeareA2B","Standard","medium","medium","1762.96","950.52","2009-04-12"
"6138","0","3145","2017-01-17","0.0","Approved","","","","","1281.6","",""
"6148","42","207","2017-03-26","","Approved","OHM Cycles","Road","medium","small","1810.0","1610.9","2008-03-19"
"6168","0","1591","2017-11-15","1.0","Approved","","","","","1220.66","",""
"6250","52","3111","2017-01-15","","Approved","OHM Cycles","Road","medium","medium","1280.28","829.51","2011-08-24"
"6251","0","3102","2017-08-31","1.0","Approved","","","","","1061.92","",""
"6269","0","2121","2017-01-10","0.0","Approved","","","","","1502.93","",""
"6356","6","1471","2017-09-20","","Approved","OHM Cycles","Standard","high","medium","227.88","136.73","2003-02-07"
"6378","94","65","2017-02-20","","Approved","Giant Bicycles","Standard","medium","large","1635.3","993.66","2014-07-28"
"6400","22","3101","2017-03-13","","Approved","Solex","Standard","medium","medium","575.27","431.45","2013-03-12"
"6415","66","924","2017-06-26","","Approved","Giant Bicycles","Road","low","small","590.26","525.33","2010-11-05"
"6419","0","1707","2017-09-03","0.0","Approved","","","","","398.08","",""
"6430","0","714","2017-10-16","1.0","Approved","","","","","101.55","",""
"6467","0","1596","2017-07-20","","Approved","Norco Bicycles","Road","medium","medium","544.05","376.84","2006-05-22"
"6471","0","406","2017-03-26","","Approved","Giant Bicycles","Standard","medium","large","569.56","528.43","2003-09-10"
"6475","6","3370","2017-04-05","","Approved","Solex","Standard","high","medium","748.17","448.9","1999-07-20"
"6500","0","1665","2017-07-20","0.0","Approved","","","","","1957.87","",""
"6520","32","1726","2017-08-14","","Approved","Giant Bicycles","Standard","high","medium","1179.0","707.4","1997-08-25"
"6573","83","2014","2017-09-01","","Approved","Solex","Touring","medium","large","2083.94","675.03","1997-08-25"
"6596","0","811","2017-01-27","1.0","Approved","","","","","1095.66","",""
"6628","11","1205","2017-10-24","","Approved","Giant Bicycles","Standard","high","medium","1274.93","764.96","2007-08-04"
"6644","0","1319","2017-02-22","1.0","Approved","","","","","1776.08","",""
"6675","0","1777","2017-09-08","0.0","Approved","","","","","752.36","",""
"6687","93","936","2017-05-03","","Approved","OHM Cycles","Standard","high","medium","1458.17","874.9","2006-02-02"
"6744","93","1990","2017-02-19","","Approved","OHM Cycles","Standard","high","medium","1458.17","874.9","2006-02-02"
"6785","8","1047","2017-03-24","","Approved","Solex","Road","medium","small","1703.52","1516.13","2011-04-16"
"6853","86","2717","2017-07-12","","Approved","OHM Cycles","Standard","medium","medium","235.63","125.07","2004-08-07"
"6896","2","2633","2017-08-25","","Approved","Solex","Standard","medium","medium","71.49","53.62","2014-03-03"
"6933","0","913","2017-10-28","0.0","Approved","","","","","172.09","",""
"6961","0","1760","2017-07-30","1.0","Approved","","","","","1740.16","",""
"6988","0","1462","2017-05-06","0.0","Approved","","","","","1734.3","",""
"7016","0","1238","2017-07-25","0.0","Approved","","","","","240.72","",""
"7047","0","2758","2017-12-15","0.0","Approved","","","","","1958.34","",""
"7080","49","1007","2017-11-26","","Approved","Trek Bicycles","Road","medium","medium","533.51","400.13","2012-06-04"
"7206","0","2424","2017-01-26","1.0","Approved","","","","","330.36","",""
"7235","0","2555","2017-12-19","1.0","Approved","","","","","1709.26","",""
"7257","90","1409","2017-10-02","","Approved","Norco Bicycles","Standard","low","medium","363.01","290.41","2005-05-10"
"7268","37","2351","2017-07-16","","Approved","OHM Cycles","Standard","low","medium","1793.43","248.82","2010-06-07"
"7323","50","3339","2017-05-12","","Approved","WeareA2B","Standard","medium","small","175.89","131.92","2003-02-16"
"7325","37","729","2017-11-23","","Approved","OHM Cycles","Standard","low","medium","1793.43","248.82","1998-12-17"
"7356","0","3358","2017-06-21","0.0","Approved","","","","","60.72","",""
"7379","47","1857","2017-09-18","","Approved","Trek Bicycles","Road","low","small","1720.7","1531.42","1994-09-09"
"7430","69","3015","2017-08-20","","Approved","Giant Bicycles","Road","medium","medium","792.9","594.68","2016-11-22"
"7460","16","1234","2017-02-12","","Approved","Norco Bicycles","Standard","high","small","1661.92","1479.11","1994-09-09"
"7529","56","2258","2017-03-05","","Approved","Norco Bicycles","Mountain","low","small","688.63","612.88","1993-10-02"
"7610","0","24","2017-05-11","0.0","Approved","","","","","1193.44","",""
"7676","0","2943","2017-08-24","","Approved","Trek Bicycles","Road","medium","medium","533.51","400.13","2012-06-04"
"7695","0","23","2017-04-02","1.0","Approved","","","","","2037.77","",""
"7727","48","508","2017-06-04","","Approved","WeareA2B","Standard","medium","medium","1762.96","950.52","2005-08-09"
"7730","0","503","2017-05-30","1.0","Approved","","","","","1349.47","",""
"7735","0","989","2017-09-29","0.0","Approved","","","","","56.21","",""
"7777","0","1427","2017-04-09","","Approved","Trek Bicycles","Standard","medium","medium","499.53","388.72","1999-06-23"
"7780","0","1576","2017-01-25","1.0","Approved","","","","","126.36","",""
"7834","20","2169","2017-08-18","","Approved","Trek Bicycles","Standard","medium","small","1775.81","1580.47","2010-05-05"
"7851","0","2598","2017-04-27","0.0","Approved","","","","","1300.96","",""
"7949","0","26","2017-09-08","0.0","Approved","","","","","1697.27","",""
"7955","74","3484","2017-02-27","","Approved","WeareA2B","Standard","medium","medium","1762.96","950.52","2011-08-29"
"7974","34","942","2017-02-17","","Approved","Norco Bicycles","Road","high","large","774.53","464.72","2010-06-07"
"7998","21","1272","2017-06-18","","Approved","Solex","Standard","medium","large","1071.23","380.74","1996-04-05"
"8028","41","1657","2017-09-27","","Approved","Solex","Road","medium","medium","416.98","312.74","1997-05-10"
"8029","28","283","2017-04-14","","Approved","Norco Bicycles","Standard","medium","small","1216.14","1082.36","1996-11-09"
"8037","96","1960","2017-07-19","","Approved","WeareA2B","Road","low","small","1172.78","1043.77","2002-10-10"
"8041","70","3388","2017-12-05","","Approved","Trek Bicycles","Standard","high","medium","495.72","297.43","2015-04-11"
"8053","0","3386","2017-02-06","","Approved","Trek Bicycles","Standard","medium","medium","499.53","388.72","2002-03-22"
"8074","3","1288","2017-10-13","","Approved","Trek Bicycles","Standard","medium","large","2091.47","388.92","2011-04-16"
"8087","20","2131","2017-04-09","","Approved","Trek Bicycles","Standard","medium","small","1775.81","1580.47","2011-05-07"
"8116","15","3383","2017-07-03","","Approved","Norco Bicycles","Standard","low","medium","958.74","748.9","2010-05-05"
"8160","0","1075","2017-07-31","0.0","Approved","","","","","26.15","",""
"8161","97","3352","2017-11-30","","Approved","Solex","Standard","medium","large","202.62","151.96","2016-03-29"
"8165","32","980","2017-07-05","","Approved","Giant Bicycles","Standard","medium","medium","642.7","211.37","2002-03-22"
"8216","0","1729","2017-10-28","0.0","Approved","","","","","875.99","",""
"8298","0","1204","2017-11-16","0.0","Approved","","","","","1862.82","",""
"8322","0","1488","2017-11-12","0.0","Approved","","","","","2028.26","",""
"8329","0","1920","2017-10-25","0.0","Approved","","","","","678.25","",""
"8406","33","1422","2017-11-22","","Approved","Giant Bicycles","Standard","medium","small","1311.44","1167.18","1994-07-12"
"8424","0","1343","2017-12-02","1.0","Approved","","","","","890.28","",""
"8453","50","944","2017-10-06","","Approved","WeareA2B","Standard","medium","small","175.89","131.92","2003-02-16"
"8486","0","14","2017-08-16","1.0","Approved","","","","","1084.18","",""
"8527","0","218","2017-03-26","1.0","Approved","","","","","1107.08","",""
"8586","0","587","2017-10-31","1.0","Approved","","","","","1790.31","",""
"8610","0","1479","2017-12-15","0.0","Approved","","","","","724.37","",""
"8611","0","2553","2017-03-07","1.0","Approved","","","","","1095.65","",""
"8626","24","2390","2017-04-01","","Approved","Solex","Road","medium","large","1777.8","820.78","2011-05-07"
"8694","46","3116","2017-10-04","","Approved","Solex","Standard","low","medium","1289.85","74.51","2007-12-11"
"8810","0","1242","2017-06-28","","Approved","WeareA2B","Standard","medium","medium","60.34","45.26","2016-02-04"
"8866","36","19","2017-09-19","","Approved","Solex","Standard","low","medium","1289.85","74.51","2007-12-11"
"8925","0","719","2017-09-11","1.0","Approved","","","","","1223.24","",""
"8934","41","1812","2017-01-22","","Approved","Solex","Road","medium","medium","416.98","312.74","1997-05-10"
"8950","39","3302","2017-02-03","","Approved","Giant Bicycles","Standard","medium","large","1812.75","582.48","2010-06-07"
"8956","0","2832","2017-06-20","1.0","Approved","","","","","541.44","",""
"9057","90","302","2017-01-20","","Approved","Norco Bicycles","Standard","low","medium","363.01","290.41","2005-05-10"
"9180","55","1464","2017-08-06","","Approved","Trek Bicycles","Road","medium","large","1894.19","598.76","1998-12-17"
"9187","0","2844","2017-10-22","0.0","Approved","","","","","470.07","",""
"9231","0","3138","2017-02-25","0.0","Approved","","","","","2052.92","",""
"9276","0","731","2017-07-15","1.0","Approved","","","","","1817.13","",""
"9301","46","3390","2017-06-20","","Approved","OHM Cycles","Standard","low","medium","1793.43","248.82","1999-07-20"
"9326","0","2310","2017-10-25","0.0","Approved","","","","","1473.09","",""
"9345","39","3167","2017-04-24","","Approved","Giant Bicycles","Standard","medium","large","1812.75","582.48","2010-06-07"
"9362","33","558","2017-02-06","","Approved","Giant Bicycles","Standard","medium","small","1311.44","1167.18","1992-10-11"
"9368","26","1693","2017-06-16","","Approved","WeareA2B","Standard","medium","medium","1992.93","762.63","1993-05-26"
"9386","63","710","2017-08-28","","Approved","WeareA2B","Standard","medium","medium","1992.93","762.63","1992-10-11"
"9420","0","1672","2017-11-13","1.0","Approved","","","","","1480.76","",""
"9447","51","897","2017-09-23","","Approved","OHM Cycles","Standard","high","medium","2005.66","1203.4","2012-04-10"
"9454","0","2764","2017-07-23","1.0","Approved","","","","","2012.84","",""
"9479","0","778","2017-11-27","0.0","Approved","","","","","1711.35","",""
"9540","55","3137","2017-03-22","","Approved","Trek Bicycles","Road","medium","large","1894.19","598.76","2003-07-21"
"9630","0","2324","2017-03-15","0.0","Approved","","","","","753.76","",""
"9658","64","2376","2017-10-25","","Approved","Giant Bicycles","Standard","high","small","1977.36","1759.85","2010-11-05"
"9690","17","1631","2017-08-08","","Approved","Solex","Standard","high","medium","1024.66","614.8","1996-11-09"
"9706","63","3048","2017-08-31","","Approved","Solex","Standard","medium","medium","1483.2","99.59","1998-12-17"
"9715","0","1546","2017-10-14","0.0","Approved","","","","","840.02","",""
"9760","0","2553","2017-07-23","1.0","Approved","","","","","1922.94","",""
"9771","25","1800","2017-05-14","","Approved","OHM Cycles","Standard","high","medium","2005.66","1203.4","2012-04-10"
"9802","68","1439","2017-07-22","","Approved","OHM Cycles","Standard","medium","medium","1636.9","44.71","2010-08-20"
"9819","7","3114","2017-09-10","","Approved","Trek Bicycles","Road","low","medium","980.37","234.43","2004-09-28"
"9934","25","2339","2017-07-22","","Approved","Giant Bicycles","Road","medium","medium","1538.99","829.65","1992-10-11"
"9969","4","2981","2017-08-17","","Approved","Solex","Standard","medium","medium","1483.2","99.59","2012-05-18"
"9996","36","1457","2017-03-03","","Approved","Solex","Standard","low","medium","945.04","507.58","1995-12-19"
"10002","0","219","2017-04-13","0.0","Approved","","","","","1759.3","",""
"10029","66","3468","2017-01-30","","Approved","Giant Bicycles","Road","low","small","590.26","525.33","2010-11-05"
"10035","30","1187","2017-01-17","","Approved","Solex","Standard","high","medium","748.17","448.9","1991-11-10"
"10045","0","1944","2017-01-11","1.0","Approved","","","","","330.91","",""
"10074","43","2396","2017-10-21","","Approved","Solex","Standard","medium","medium","1151.96","649.49","2006-10-01"
"10095","98","398","2017-05-09","","Approved","Trek Bicycles","Standard","high","medium","358.39","215.03","2004-01-16"
"10139","47","3249","2017-06-15","","Approved","Trek Bicycles","Road","low","small","1720.7","1531.42","1996-04-05"
"10176","74","989","2017-05-06","","Approved","WeareA2B","Standard","medium","medium","1228.07","400.91","1994-07-12"
"10185","58","3338","2017-08-12","","Approved","OHM Cycles","Standard","medium","medium","912.52","141.4","2015-10-18"
"10254","96","1133","2017-12-13","","Approved","WeareA2B","Road","low","small","1172.78","1043.77","2002-10-10"
"10299","49","2822","2017-03-06","","Approved","Trek Bicycles","Road","medium","medium","533.51","400.13","2012-06-04"
"10368","51","1442","2017-03-03","","Approved","OHM Cycles","Standard","high","medium","2005.66","1203.4","2012-04-10"
"10373","0","275","2017-08-17","","Approved","WeareA2B","Standard","medium","medium","60.34","45.26","1993-07-15"
"10437","0","3122","2017-04-05","","Approved","Solex","Standard","medium","medium","71.49","53.62","2005-08-09"
"10455","64","217","2017-11-06","","Approved","Giant Bicycles","Standard","high","small","1977.36","1759.85","2011-08-24"
"10478","49","508","2017-07-05","","Approved","Trek Bicycles","Road","medium","medium","533.51","400.13","1993-06-23"
"10501","95","1274","2017-01-21","","Approved","Giant Bicycles","Standard","medium","large","569.56","528.43","2003-09-10"
"10541","0","216","2017-02-15","0.0","Approved","","","","","1029.36","",""
"10579","71","2047","2017-10-24","","Approved","Solex","Standard","high","large","1842.92","1105.75","2003-09-09"
"10698","46","2019","2017-06-04","","Approved","OHM Cycles","Standard","low","medium","1793.43","248.82","1999-07-20"
"10788","95","2084","2017-11-11","","Approved","Giant Bicycles","Standard","medium","large","569.56","528.43","2002-10-10"
"10800","7","2986","2017-05-18","","Approved","Trek Bicycles","Road","low","medium","980.37","234.43","2004-09-28"
"10857","58","317","2017-11-09","","Approved","OHM Cycles","Standard","medium","medium","912.52","141.4","2015-05-21"
"10896","0","2278","2017-09-02","0.0","Approved","","","","","1487.8","",""
"10960","0","151","2017-01-06","1.0","Approved","","","","","1624.69","",""
"11016","0","2456","2017-05-12","","Approved","","","","","1719.95","",""
"11108","41","1872","2017-12-27","","Approved","Solex","Road","medium","medium","416.98","312.74","1993-04-12"
"11116","0","2342","2017-04-17","0.0","Approved","","","","","899.52","",""
"11156","63","1311","2017-11-23","","Approved","Solex","Standard","medium","medium","1483.2","99.59","2010-11-05"
